nExp, valid,  A 0,  A 1,  A 2
   0,     0, -596, -148, -148
   1,     1, -327, -126,  -95
   2,     0, -148, -224, -148
   3,     0, -147, -208, -360
   4,     0, -148, -160, -148
   5,     1,  -46,  -61,  -46
   6,     0, -213, -149, -149
   7,     0, -376, -148, -148
   8,     0, -304, -148, -148
   9,     0, -148, -148, -148
  10,     0, -148, -148, -148
  11,     0, -148, -344, -156
  12,     0,   64, -130, -118
  13,     0,   -1,   -1,   -1
  14,     0, -148, -148, -156
  15,     1,  -47,  -47,   14
  16,     0, -228, -148, -368
  17,     1, -255, -186, -119
  18,     1,   -5, -178,  -94
  19,     0, -613, -389, -241
  20,     0,  -89, -405, -109
  21,     0, -148, -256, -148
  22,     0, -120, -260, -132
  23,     0, -413, -157, -149
  24,     0, -148, -148, -148
  25,     0, -148, -208, -148
  26,     0, -148, -148, -148
  27,     0,  -46,  -54,  -46
  28,     1,  -42,  181,  -42
  29,     0, -472, -148, -148
  30,     1,  208,  -91, -123
  31,     1,  -60,  429,  -60
  32,     1,  -51,   10,  -51
  33,     1,  -52, -109, -357
  34,     0, -148, -180, -192
  35,     0, -148, -148, -240
  36,     0, -104, -108, -104
  37,     1,  -97,  -66,  -70
  38,     1,   59,  -42,  -42
  39,     0, -121,  -97, -101
  40,     0, -148, -148, -148
  41,     0, -108, -220,  793
  42,     1, -106,   -5, -106
  43,     0, -148, -152, -480
  44,     0, -148, -160, -148
  45,     1,   26,  -75,  -75
  46,     0, -148, -480, -148
  47,     0, -464, -148, -148
  48,     0, -480, -148, -184
  49,     0, -149, -425, -149
  50,     1,  -88, -188, -215
  51,     0, -148, -232, -348
  52,     1,  130,  -72,  -72
  53,     0, -212, -164, -148
  54,     0, -148, -148, -244
  55,     0, -376, -148, -180
  56,     0, -292, -148, -168
  57,     1, -229, -212, -105
  58,     1, -114, -298, -273
  59,     0, -148, -164, -172
  60,     0, -111, -111, -122
  61,     1,  -79, -158,  -79
  62,     0, -368, -160, -148
  63,     0, -148, -148, -148
  64,     0, -176, -148, -188
  65,     0, -452, -120, -112
  66,     0, -160, -132, -132
  67,     1,  -93, -184,  -93
  68,     0, -148, -148, -480
  69,     0, -148, -148, -148
  70,     0, -149, -149, -149
  71,     0, -148, -148,    0
  72,     0, -156, -148, -592
  73,     0, -148, -148, -156
  74,     0, -148, -148, -148
  75,     0, -148, -148, -148
  76,     0, -272, -264, -148
  77,     0, -172, -148, -208
  78,     0, -464, -148, -148
  79,     0, -148, -200, -384
  80,     0, -149, -245, -149
  81,     0, -211, -487, -283
  82,     0, -148, -148, -212
  83,     1, -129, -110, -110
  84,     1, -243,  -79,  -22
  85,     0, -148, -148, -148
  86,     0, -220, -148, -148
  87,     0, -148, -148, -148
  88,     1, -147, -115,  188
  89,     0, -148, -156, -148
  90,     0, -173, -309, -417
  91,     0, -148, -368,    0
  92,     0, -148, -148, -252
  93,     0, -148, -148, -148
  94,     0, -148, -244, -148
  95,     0, -148, -148, -148
  96,     0,  -40,  360,  -40
  97,     0, -148, -208, -148
  98,     0, -400, -188, -228
  99,     0, -148, -148, -164
